Metacritic,PackageCount,ScreenshotCount,AchievementCount,AchievementHighlightedCount,ControllerSupport,IsFree,PurchaseAvail,CategorySinglePlayer,PriceFinal,release_month,game_age_days,detail_length,has_pc_rec_reqs,SteamSpyPlayersVariance_log,dlc_x_owners,lsa_about_1,lsa_about_4,lsa_about_6,lsa_about_7,lsa_about_8,lsa_about_13,lsa_detail_0,lsa_detail_3,lsa_detail_5,lsa_detail_9,lsa_detail_10,lsa_detail_11,lsa_detail_12,lsa_detail_13,lsa_detail_14,lsa_short_0,lsa_short_5,lsa_short_7,lsa_short_8,lsa_short_9,lsa_short_10,lsa_short_11,lsa_short_14,lsa_PCMinReqsText_0,lsa_PCMinReqsText_1,lsa_PCMinReqsText_2,lsa_PCMinReqsText_3,lsa_PCMinReqsText_4,lsa_PCMinReqsText_5,lsa_PCMinReqsText_6,lsa_PCMinReqsText_7,lsa_PCMinReqsText_9,lsa_PCMinReqsText_11,lsa_PCMinReqsText_12,lsa_PCMinReqsText_14,RecommendationCount
0.0,0.0757905319906102,-0.8337256773214066,-0.7027104478073062,-0.8691338397198128,0.0,0.0,1.0,1.0,-0.6756117067722398,0.3702001506803339,-0.2053569074368825,-0.4476563862653179,0.0,0.0342187923023749,-0.3233200770781286,0.4227380843439836,-0.0946025951727695,-0.2500199030702237,-0.28008652446347,-0.0859149104340797,-0.1427863308204435,0.696241651585261,-0.2111194384142435,-0.1952864123676839,-0.0617685479268409,0.0352877658439223,0.062399321672356,0.193915282041268,-0.1612226651938912,0.1494125944572181,0.3606152095371686,0.2596003717141865,-0.0961346319495287,-0.2203305962699079,-0.034245345592238,0.0500249139650449,-0.5014508928480169,-0.0462016427328929,0.3276486919188275,0.3582613993423366,-0.1032743962420649,-0.4034360392688241,-0.025641876132357,0.1212383427283292,-0.1167344727787534,-0.2846368282618218,0.5712735989778811,-0.0342605463401425,-0.0642332663148528,0.3186464847730544,0.0
0.0,0.0757905319906102,2.363078280249016,2.3297595010236294,1.1995487115217671,1.0,0.0,1.0,1.0,0.6629024702125664,-1.9016002654145567,-0.5094501735197476,-0.5955440109228812,0.0,0.6003986394314533,-0.3233200770781286,-0.0467123675021495,0.34527644578022,0.0985343091753007,0.1041257746773401,0.0778752795560291,-0.2274706710881427,0.7633501768889401,0.3036413155299081,0.0545020103849033,-0.1971369211490377,-0.1072664371962279,0.138315863326262,-0.1758956568536728,-0.2414824435837527,0.1127894056914708,0.4395462083202737,-0.265801012531565,-0.1046501626307676,-0.0077622410497439,-0.0846514822163114,-0.0909756701452441,0.2439535024065562,-0.2838027863639029,0.6845729456312193,0.4728778767355104,-0.1086765426632029,-0.0729725722364052,-0.0586250277517623,-0.116348660015483,-0.42855856201069,-0.1233374956897522,0.0401340146350668,0.0788797558112518,0.1843454890358313,-0.0838841095617773,285.0
0.0,-1.7429552339633114,-1.832726914062164,-0.7027104478073062,-0.8691338397198128,1.0,1.0,0.0,0.0,-1.120295861126081,0.3702001506803339,-0.8927156508904593,-1.5251233659132792,0.0,-1.641723076265682,-0.3233200770781286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0968635323629417,-0.0201141941063757,0.0050394047301382,-0.0107346273770088,-0.0256472007777995,0.0092219510120601,-0.0082472410766582,-0.0384644437530588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-1.7429552339633114,-1.832726914062164,-0.7027104478073062,-0.8691338397198128,1.0,0.0,0.0,0.0,-1.120295861126081,0.3702001506803339,-0.8963143877671796,-1.5251233659132792,0.0,-1.641723076265682,-0.3233200770781286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5615388772239654,-0.3209601977643314,0.2510448298269883,-0.1242479666986162,-0.4162312775486496,0.1393874954377338,-0.2207732717952345,0.2423894777178461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,-1.7429552339633114,-0.8337256773214066,-0.7027104478073062,-0.8691338397198128,0.0,0.0,0.0,1.0,-1.120295861126081,-0.2788856824896348,-0.3007234346699704,-0.61080225791136,0.0,-1.641723076265682,-0.3233200770781286,-0.1517443909833631,0.1417660253512102,-0.1121472169241851,0.212724505061559,0.0878812845346827,0.0731371300907679,0.725673751258983,-0.0555154228966355,-0.1329159462758683,0.2737057321565745,0.0758899401726942,-0.2371542641249903,0.094697739657723,0.1010810584591943,0.3906416244933591,0.6161937139607271,-0.1343485567272353,0.0413698151074221,-0.2016230396123499,-0.3293666473188548,0.07039523743445,0.1497891729067212,0.5485901239398058,0.6237288405267595,0.3492855767102716,0.3385882339964184,0.2105147871996557,-0.2370364267088458,-0.0469071844641489,-0.1742904927084005,-0.13984190145128,-0.01507348609463,-0.3334740097541295,-0.2618767184350089,0.0109116919613262,0.0
68.0,1.1396886034190312,-0.0345246879288009,0.596919530263095,1.1995487115217671,0.0,0.0,1.0,1.0,0.3654548753270539,-0.6034285990746192,2.23908511607538,0.3657255493512802,0.0,1.5841455615136182,-0.3233200770781286,-0.3384490692152265,-0.3508090366287077,0.0242391289241527,0.1282491802748577,0.0296379759885201,0.1219409896215913,0.7726523226258134,-0.0140873711996859,-0.0466478803760906,-0.1149551400680448,-0.0516829379416113,0.2273683661477164,0.097159118158045,0.0752990439830763,-0.1391075520318293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5988101050668415,-0.5165390041761814,-0.3325646756109588,-0.2206024219950942,-0.2899516219079285,-0.1686005232476604,0.0158293082775238,-0.0952314157642357,0.0437113628316325,-0.0084097308783943,-0.0698005070801949,-0.1661600295942783,4221.0
60.0,0.0757905319906102,0.1652755594193505,-0.7027104478073062,-0.8691338397198128,0.0,0.0,1.0,1.0,-0.0807165170012148,0.6947430672653183,-0.2557392237109667,1.9549306587666828,1.0,-0.0342798512691278,-0.3233200770781286,-0.2691140220255708,-0.1328844455455142,0.0682304423407159,-0.2311977997761833,-0.1815805393225872,0.0575406487841219,0.6601207760407473,-0.015136440128661,0.0487687524984494,0.2496637633969884,-0.1496831771860343,0.0928750228119592,-0.1717758331084943,0.0562290313585139,-0.056264882052358,0.445054644403993,0.3253683431952396,-0.3434256597400202,0.1536361145210852,0.0428797064415735,0.0687198138915919,0.2299186350341131,0.0877591348531094,0.5874490454396583,-0.4684058082308924,-0.4115386674901106,0.1160848754466981,0.1013224930105006,0.0889071900759715,-0.0740098726265568,0.0668673455176276,0.2121807324100012,-0.0133877221404331,-0.1647307651263318,-0.2435645615984702,0.0
0.0,0.0757905319906102,0.1652755594193505,-0.7027104478073062,-0.8691338397198128,0.0,0.0,1.0,1.0,-0.4971431498409323,0.0456572340953495,-0.8081453342875323,0.6227683255418069,1.0,0.0537340766215296,-0.3233200770781286,0.6363006447304773,-0.0520049405706129,0.1001716489264454,0.2471303582918846,0.0936589608701586,-0.2815743159027977,0.5491706797611514,0.0909020093133799,0.0448240287314997,0.1658913356945449,-0.0282110338945901,0.2074712504327156,-0.0625065508448286,-0.3161634068800987,-0.041519994211302,0.4281820800811338,0.1412070946905557,-0.4583941372111344,-0.3099082177026999,-0.1690852268522718,0.0631145525301973,-0.0139282345558931,-0.1440252967471736,0.4332765518183665,0.1823386093916962,-0.3237209102146665,-0.1875611224490727,-0.0933178272230686,-0.1588385710844335,0.1269593146195305,0.2834135079785481,-0.1318355425720324,0.4373276621421576,-0.1268887860557794,0.1952001664788982,0.0
0.0,0.0757905319906102,-0.2343249352769523,0.8444680975146,1.1995487115217671,0.0,0.0,1.0,1.0,-0.6756117067722398,-1.9016002654145567,-0.5166476472731882,-0.8572816323406321,0.0,0.0452854954276625,-0.3233200770781286,-0.2067122114418607,-0.0073427630637783,-0.0430707960454619,0.3013282700014047,-0.0090828360507671,0.0078643985832298,0.7485296913455575,0.1599474682313526,-0.1367665280831359,0.2010617201470076,0.0552373642912978,-0.1023527724501588,0.1558898449997546,0.0826373285265212,0.0602531336072042,0.6544041363689511,-0.0961257292480242,0.2119594528663597,-0.1657640176999845,0.0766301142952469,-0.2915662278665548,0.1789915869907882,0.4526311303038946,0.5399337618878921,0.1255348881575625,0.2306049062484207,-0.1520490049125097,-0.1521798803308182,0.170085596963319,0.237648835387907,0.0050294611906332,0.1220977081877467,0.0718965271375788,0.4967295175301622,-0.297647865174532,0.0
0.0,-1.7429552339633114,-0.8337256773214066,-0.7027104478073062,-0.8691338397198128,0.0,1.0,0.0,1.0,-1.120295861126081,-1.9016002654145567,0.140121832728266,-0.3467172138799969,0.0,1.0936210627878713,-0.3233200770781286,0.49801557213934,-0.2285124284851123,-0.0038831211403421,-0.008080129149163,-0.0840051071116342,-0.1131009244499352,0.6791897980311377,0.0043510431957087,0.2174258021265564,-0.1198120488649775,0.0519737976417424,0.4050968061781167,-0.0557120212862897,-0.0144200201633504,0.0719779130977346,0.5755942068021027,0.0096797629884205,0.2376475574359444,0.2398379819120495,-0.0779023634320903,-0.0870564530720692,-0.0456142363999104,-0.0298548562151517,0.6405753481571393,-0.0106726393733786,0.0428634269600606,-0.0943085063340145,0.0991911153044984,0.404790582476237,-0.2063799582776654,0.0896360340202598,-0.047570568881962,0.150407448712365,-0.0929080807183599,-0.3168840311700731,2525.0
