lsa_0,lsa_1,lsa_2,lsa_3,lsa_4,lsa_5,lsa_6,lsa_7,lsa_8,lsa_9,lsa_10,lsa_11,lsa_12,lsa_13,lsa_14,lsa_15,lsa_16,lsa_17,lsa_18,lsa_19,lsa_20,lsa_21,lsa_22,lsa_23,lsa_24,lsa_25,lsa_26,lsa_27,lsa_28,lsa_29,lsa_30,lsa_31,lsa_32,lsa_33,lsa_34,lsa_35,lsa_36,lsa_37,lsa_38,lsa_39,lsa_40,lsa_41,lsa_42,lsa_43,lsa_44,lsa_45,lsa_46,lsa_47,lsa_48,lsa_49
0.3124626111191395,0.008771843980760426,0.12248845168546862,-0.22800598489774096,0.005699716616456157,-0.021896162093451722,-0.11874958357217208,-0.029980225119518242,0.13261052620879552,0.041202418001422575,0.09383987040248533,0.03544814018759546,-0.050643850576707415,0.3311448012027358,0.22763066281401523,0.1386729891721448,0.15308776942745306,-0.026903005415743347,0.07979624946031458,-0.19040255782512827,0.13376653148306367,0.09523633837035544,-0.10854195042012549,0.36940218652698087,-0.03438085235394669,-0.15664315808731016,-0.06081961819887953,-0.009093188727329737,-0.08939679196548363,0.2951944851993975,0.08207675408901269,-0.1293896123825749,0.17968573303950577,-0.05888566484354804,-0.025410238272059966,0.19482535561677647,-0.004091887675277073,-0.054327312431165356,-0.0526456359895838,0.1258129047232333,-0.1332939090441527,0.07477726097028367,0.135837674235403,0.0009253682514808086,0.05147808051010008,0.11433222698741041,0.001418054739209148,-0.1348021067406921,-0.2124878165879939,-0.01723276745934546
0.35242170865142786,0.08762277081930749,0.14136089194529702,0.0046901458633886025,0.1806348707673525,0.025246581666619493,0.0542405077147067,-0.2184098134149434,0.0027816494653231175,-0.006938739384241421,0.19914013244614218,0.08044943785434652,0.09042935188334449,-0.07752744051305302,0.011970437422542005,0.022770968402582237,-0.23605885977902014,-0.05738140285043902,-0.04253563617315642,0.042444998440341615,-0.11775580676663237,0.2086421551493055,-0.18616289896986954,-0.005631620816016473,0.013642984462324443,0.11349120786328708,0.10816636466166545,0.027696723934726664,-0.2648851571073469,-0.23359495407791642,0.17139468195941768,0.20671758885765995,0.09215238247035899,-0.13889731329474803,-0.10808194900954406,-0.15301188865888904,-0.03181876001969853,0.33710138733434303,-0.0539438424392658,-0.11553073448542225,0.040725318396656024,-0.2598827387069558,-0.14959848445642474,-0.07351377442726423,-0.02102273324532189,0.04148730426545746,0.14372923806456736,0.004857197030836022,0.005986079231213618,-0.11151781791841402
0.4782905526599087,0.4331928107498418,-0.1564773691908159,-0.02405263172764574,-0.032393304433862985,-0.04202688922795729,-0.1923464466799793,0.05911077306840886,-0.16423502719150146,0.02324820648404906,0.05373813955932552,0.17583644138225718,-0.07312575172791724,-0.13278194011191086,0.1519018192725042,-0.10253879057302583,0.19013820241657717,0.04156129822135369,-0.13858908599373831,-0.067556720529554,0.08844974295665863,-0.10081900593909822,-0.08736680529108684,-0.07971115310729944,0.1688341008000649,0.1912170726363988,-0.13898094892875235,0.16980011191035266,0.011386785622999343,-0.04282117112904531,-0.03410039668071767,0.00872756143440358,0.03225448213254793,-0.026946885736390345,-0.015447825002000152,-0.26955039919313106,-0.12806735650960255,-0.1380355276871091,-0.008758407651407053,0.0550738338029393,-0.10991545805815214,-0.045191080769821354,0.15161182189027986,0.06951599378935693,0.0944765940455358,0.0570821332397855,0.03375530662487441,0.12819270135692518,0.03308810424613433,-0.0354832838499802
0.6569905590426955,-0.17090503535035145,-0.11361347887039286,0.229337788904952,0.19878124476299758,0.012274615329911098,-0.14458274652514888,0.034761871298177364,0.06489172835557146,-0.029965714416728975,0.02779779269232803,-0.18590133633798828,-0.05953220197408611,0.013150954208172623,-0.06818988919078284,-0.04776345201432363,-0.01785154986352582,0.0024199285048663644,0.13419252612251933,0.0443434738658376,-0.09481833438822454,0.12846196389478648,-0.06016189218511145,-0.11060732614191598,-0.0028842950252874196,0.011887819214042373,-0.06978620800383821,0.034558399593897296,-0.14722636992589302,-0.23987070538698532,0.04465999206681842,0.006756889984698906,0.21464716490155022,-0.08123528382564242,-0.12049369915487136,0.03157822995843127,0.06700922702749618,-0.05141268120016208,0.10643365636848981,-0.12778724312779352,-0.01707420622972932,-0.09530790193348308,0.05023843016598305,-0.17825571675756413,0.08442297824276877,0.047312879950831374,0.046569632838761046,-0.01899981893614107,0.07943500890456716,0.2163625669900584
0.4915119878423108,-0.1393373368899248,-0.10084121627930626,-0.2764231425950815,0.02224463443164084,0.1132281620893444,-0.026421213588303644,0.21882002363289726,-0.10875536845677236,-0.0036904528106603777,0.00205561068534621,0.0022788570673287958,0.12913279731466018,0.025942833058322193,-0.04804285268617765,0.15462593868979926,0.1648578590450045,-0.20187817938723635,0.013553074675844773,0.08632615813657453,-0.05015675570522216,0.06034362255485096,-0.18057778028105506,0.07115925007398553,-0.036834728872779096,0.13226364318344488,-0.1731511919940831,0.12129201968958504,0.18874128559498096,-0.16332698600180154,-0.13688530621315162,-0.08786817934465148,-0.08408745888354698,-0.052546732244993004,0.19836543304256865,0.07293106514717787,0.18976630920594711,0.10458800440612417,0.16451607414627134,0.1642083896744839,0.004686827546657901,-0.11085951663537147,-0.01658182279397175,-0.026353340425572212,0.004092430315762196,-0.11001698697694981,0.23225445645979811,-0.11034629282995924,-0.09669367901229003,-0.08403673731871418
0.5369107380248774,-0.1875944153397866,0.25732998039315425,-0.20568596304719772,-0.22892042525570297,-0.10115622372396571,-0.091558419242994,0.046737278111604275,-0.2209683553555261,0.0034334624469174913,-0.02479194899500511,0.26318339934152957,0.08877302562124553,-0.23299622346877633,0.10378528353329221,-0.045681771548438874,-0.054662941710135665,-0.06265683362768047,0.05989731952885786,0.001869572354709471,0.05661041639809406,0.06502012418877245,-0.0510174384905948,0.08888737569949057,-0.0624848163384258,-0.028244963120062076,-0.06384664098134761,-0.004539115926320282,0.03403566494711931,0.057456423181280296,0.03450531630539765,0.046249921792573166,0.047610661627226096,-0.06896290855534415,0.014140945425095574,-0.22317229866196786,-0.11465410418497729,0.2963267976766698,-0.003925971164149788,-0.14863821221843013,-0.08950804149563711,-0.07589208241374781,-0.13362463766146015,0.025452681585483763,0.07383882226465836,-0.17834742571965312,0.035633928682977226,-0.052441886867482974,-0.012869896133451528,-0.047095696590445595
0.38338685024618707,-0.17536031424001072,0.06336641571017891,0.0715735285438297,0.1642216117527581,-0.15208224338483467,0.041588351507743926,-0.250225545341572,0.2883136409460696,-0.028402213183433885,-0.013871880807750982,0.07392582781674874,0.029223141972872974,-0.1556825021464559,-0.11160248864091622,-0.06936471901813993,0.11480597509175602,0.131840102599869,0.036682593719079816,0.05544106014039689,0.06860223066130944,-0.2194318638314836,0.24323850033836347,0.08032771731695487,-0.028920345364504697,0.20192506285301676,0.06401925911972609,0.08029540148496689,-0.10420723787727161,-0.08643954294757257,0.18291118389090666,-0.05778204411958104,-0.2689505233265602,0.13502198009255084,-0.06334948545244055,-0.09961666314131716,0.15909214662045185,-0.09432209242081771,0.16370525992645868,0.13756862912363682,-0.02638401393599381,0.1711827355583223,-0.017344891383849616,-0.13401945326577575,0.038114560328669216,-0.12221029370359926,-0.07352508905644031,-0.05824568997755628,-0.18609485939405115,0.1161365036404602
0.5874721128699842,-0.02328225220563994,-0.10576072433883386,-0.48762905611015195,-0.02922469487235306,0.04165242038913088,0.33708662655301086,-0.17281809215989707,0.1973985874749438,-0.08009781222019398,-0.030951163884424027,-0.10509281034901807,-0.05064156604528715,-0.06817888912024266,-0.007549738115279058,-0.19836854354249922,0.06328533700776807,0.025674406352342295,-0.05383977144277099,0.08222624709020677,0.033271118652980575,-0.06694172622237826,0.05839593952408699,-0.08288552312952925,0.09859601074187765,0.01617828986826009,0.08733345947616984,0.1462015848105143,-0.011968165145113223,0.1054898192481756,0.0005764396529263493,-0.011203064939986749,-0.10971655108586742,0.07196160848809686,0.07180945793260209,-0.07528824255326137,-0.012225775641187526,-0.037417539035156856,-0.0001234770764092128,-0.014618213275512338,-0.01775139230383312,-0.010166117793851185,-0.047573022589725,-0.008310338203212083,0.066133910753385,0.011186935088817103,-0.012215516692001884,0.04168934692143532,0.18732844627313422,-0.025935180486452585
0.33995900121123407,-0.13769615677689692,-0.054614080604443914,0.21729188895583654,0.1052354889876542,-0.13492130115930495,0.1701317482892138,-0.19039101481747447,0.22153084889717492,0.022634816840814087,0.0566993076665537,0.0007764336045045551,-0.066718145740526,-0.012912401071347022,-0.029875005364413856,0.050932769262716476,0.12186782008922509,0.031210112760541905,0.06451111705986567,0.1679251369170838,0.0028708748655312,-0.04578383633998962,0.04187149142386264,0.15777510622836205,0.14981918358505458,0.19839454657094505,-0.012582675564495462,-0.09267781661439294,0.07932539942222368,0.05326555962322381,0.010011686346074617,0.08505792822296698,0.008527086724934152,0.13893051566469194,-0.29104446249884447,-0.2714821070117395,-0.16383176182764994,0.28281032002161655,0.004895804016803649,0.10955215851917502,-0.015943920175548444,0.2465864308061686,-0.06973478855897555,0.0312531050042509,-0.024402955490136463,0.040810945612944405,0.30021116287822297,0.02839600465056412,0.08282859660666929,0.1798556753403266
0.41779421429426694,0.2784823604951958,-0.11388747182753117,-0.14333891509340305,-0.01304033418390374,-0.03880616754264296,-0.11553529025366689,-0.31133666552395955,0.005137578701785295,-0.013349598133160896,-0.03510514458605427,0.18772976622771392,-0.0011752162597395168,-0.17565179399231368,-0.06806071639877494,-0.023383424037082014,-0.03126312026486804,0.14182180538368377,-0.03493366170427499,-0.04397964426602156,0.08165123870975523,0.295038861011766,0.07711713412881419,-0.07703490778125334,0.06645293764562578,-0.06251425685658892,-0.15722252966119463,0.03213001927094139,0.1235008548948811,-0.1582041066745465,0.02410415181694396,0.07268132393896129,-0.1783652674491096,-0.05230054791625739,-0.01379643148505001,0.26456811478215747,-0.21339040098871045,-0.053263089840701314,-0.01687112234235381,-0.08592763702755638,0.07594312087278907,-0.17893574524068057,0.022346672794094823,0.14988446540391653,0.09837201885668341,-0.08386937033002827,0.07290669037231871,0.2342382224986725,-0.08122888794654777,0.12095573439810968
