iter	Passed	Remaining
405	6602	1528
406	6619	1512
407	6634	1496
408	6651	1479
409	6668	1463
410	6683	1447
411	6699	1430
412	6714	1414
413	6731	1398
414	6746	1381
415	6762	1365
416	6780	1349
417	6797	1333
418	6813	1317
419	6829	1300
420	6844	1284
421	6861	1268
422	6877	1251
423	6892	1235
424	6909	1219
425	6927	1203
426	6942	1186
427	6959	1170
428	6975	1154
429	6991	1138
430	7007	1121
431	7024	1105
432	7039	1089
433	7055	1072
434	7071	1056
435	7086	1040
436	7104	1024
437	7120	1007
438	7138	991
439	7155	975
440	7171	959
441	7189	943
442	7205	927
443	7222	910
444	7238	894
445	7254	878
446	7271	862
447	7288	846
448	7303	829
449	7318	813
450	7334	796
451	7350	780
452	7366	764
453	7381	747
454	7397	731
455	7413	715
456	7429	699
457	7445	682
458	7462	666
459	7477	650
460	7494	633
461	7510	617
462	7526	601
463	7541	585
464	7557	568
465	7573	552
466	7589	536
467	7606	520
468	7623	503
469	7640	487
470	7655	471
471	7671	455
472	7688	438
473	7705	422
474	7721	406
475	7738	390
476	7755	373
477	7772	357
478	7788	341
479	7804	325
480	7821	308
481	7837	292
482	7853	276
483	7868	260
484	7884	243
485	7900	227
486	7917	211
487	7932	195
488	7946	178
489	7962	162
490	7977	146
491	7994	129
492	8011	113
493	8027	97
494	8044	81
495	8060	65
496	8077	48
497	8092	32
498	8108	16
499	8124	0
