iter	MultiClass
347	0.1151692721
348	0.1147975214
349	0.11457871
350	0.1144612463
351	0.114227044
352	0.1140647441
353	0.1138489379
354	0.1137008344
355	0.1135500776
356	0.113393975
357	0.112890241
358	0.1127828974
359	0.1126195726
360	0.1124473992
361	0.1122879663
362	0.1120284435
363	0.1116956661
364	0.1115974982
365	0.1112814707
366	0.1111760448
367	0.1110487864
368	0.1107954891
369	0.1105902843
370	0.1103759074
371	0.1101930822
372	0.1099076584
373	0.1095729884
374	0.1092327985
375	0.1091451933
376	0.1089702804
377	0.1088952543
378	0.1087798694
379	0.1086612558
380	0.1085268563
381	0.1082129928
382	0.1080454255
383	0.1079064885
384	0.1076207401
385	0.1071526062
386	0.1069518025
387	0.1067751996
388	0.1066954165
389	0.1066056607
390	0.1064696716
391	0.106181566
392	0.1059586304
393	0.1057129842
394	0.1054047985
395	0.1052896301
396	0.1051494675
397	0.1050237463
398	0.1048380706
399	0.1047081465
400	0.1045408664
401	0.1044109255
402	0.1043361206
403	0.1039316505
404	0.1037773973
405	0.1036203398
406	0.1033466512
407	0.1031154789
408	0.1029434198
409	0.1028079926
410	0.1026686395
411	0.1025701418
412	0.1023228427
413	0.1022483833
414	0.1020098249
415	0.1018362806
416	0.1016398956
417	0.1015845971
418	0.1013902835
419	0.1013049545
420	0.1011973221
421	0.1010901231
422	0.1010039623
423	0.1008890487
424	0.1008018747
425	0.1003608609
426	0.1002546311
427	0.1001208738
428	0.09975456465
429	0.09969605213
430	0.09949243432
431	0.09923656555
432	0.09913119769
433	0.09898840164
434	0.09885618646
435	0.09867434193
436	0.09826264947
437	0.09809450008
438	0.09785219394
439	0.09741879487
440	0.09720681793
441	0.09705068967
442	0.09698223561
443	0.09681341004
444	0.09671818436
445	0.09661903104
446	0.09639870164
447	0.09622174823
448	0.09616775737
449	0.09606778374
450	0.09595402215
451	0.09584385469
452	0.09578681509
453	0.09573331778
454	0.09557273321
455	0.09545307279
456	0.09536938116
457	0.0952210929
458	0.09506331321
459	0.09489767265
460	0.09473683039
461	0.09450988983
462	0.09440620538
463	0.09437140247
464	0.09426356465
465	0.09412300874
466	0.09400061003
467	0.09390519425
468	0.09370604985
469	0.09365154693
470	0.09341455472
471	0.09326817839
472	0.09313545819
473	0.09306649503
474	0.09282781092
475	0.09272506386
476	0.0926346399
477	0.09252559973
478	0.09238601609
479	0.09225328842
480	0.09208365995
481	0.09198669019
482	0.09188125133
483	0.09184205154
484	0.09179481549
485	0.09165346736
486	0.09147290064
487	0.09141070355
488	0.09131167732
489	0.09119510013
490	0.09101784902
491	0.09089086555
492	0.09079349469
493	0.09070594726
494	0.09053416335
495	0.09041395069
496	0.09015786601
497	0.08997679409
498	0.08974435324
499	0.08967714206
