lsa_about_0,lsa_about_1,lsa_about_2,lsa_about_3,lsa_about_4,lsa_about_5,lsa_about_6,lsa_about_7,lsa_detail_0,lsa_detail_1,lsa_detail_2,lsa_detail_3,lsa_detail_4,lsa_detail_5,lsa_detail_6,lsa_detail_7,lsa_short_0,lsa_short_1,lsa_short_2,lsa_short_3,lsa_short_4,lsa_short_5,lsa_short_6,lsa_short_7,lsa_name_0,lsa_name_1,lsa_name_2,lsa_name_3,lsa_name_4,lsa_name_5,lsa_name_6,lsa_name_7,lsa_PCMinReqsText_0,lsa_PCMinReqsText_1,lsa_PCMinReqsText_2,lsa_PCMinReqsText_3,lsa_PCMinReqsText_4,lsa_PCMinReqsText_5,lsa_PCMinReqsText_6,lsa_PCMinReqsText_7,textlen_about,textlen_detail,textlen_pcmin
0.8335535199506339,-0.16928176706236403,-0.1608995151740518,0.22549041648652143,0.2414339373043384,0.0924919093927984,-0.2253113111282008,-0.28668335232435854,0.8352085026846652,-0.1727319436519844,-0.17316719060314847,0.22536013629124207,0.26108495309585145,0.09477958327007366,-0.2266651380362917,-0.25157654663328616,0.5598433469725457,-0.6976716419395761,0.0312528340006906,-0.17204543459140217,-0.04778831086658923,0.0473794054426727,0.07839426221330152,0.3982199701465813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6204490396654289,0.1690947548838182,0.030358571440080726,-0.04265414566891023,0.1428853442164025,-0.040819511514168655,-0.19211405246168284,0.7243746756900438,6.942156705699469,6.942156705699469,5.267858159063328
0.8749562044501177,0.288454535700461,0.10892370684122833,0.11977474463526268,-0.010351702976371375,-0.26844921780542513,0.22500135346019254,0.04730230871559152,0.8773238268579864,0.2920372395821768,0.10407746115095062,0.1288707396633302,-0.012377845738789396,-0.25973077423801083,0.20959945052601806,0.07766693151696118,0.8282321939912441,0.12535593596980693,-0.06421803469365889,-0.03146728322647601,0.15640696271919022,-0.40317302110651226,-0.30716388930923294,-0.10882048717609903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6981819128283243,-0.5399044947037012,-0.2856483412622813,0.08072573873179398,-0.12984839510077167,-0.21353832541812529,0.25901247611392697,-0.058196636699604336,7.606387389772652,7.606387389772652,5.645446897643238
0.6628689204691636,0.22444659576813664,-0.006069628280564572,-0.3100006805494129,-0.3699629862446771,0.3712327712986666,-0.36944464916079384,0.05399562134903074,0.6158890958531499,0.21512237327194597,-0.000531368077050555,-0.2932015166396261,-0.39792672202830953,0.40241907805008625,-0.3734661313785574,-0.1693275897350524,0.7704762116626511,-0.29786580915972427,0.12445281409185534,-0.04898434507330299,0.009904142680658758,0.2147496780021103,-0.17002084497160405,-0.47395336693481016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5277995062487975,0.02627909445310055,0.7547778858741228,0.2370880155251049,-0.13295900079097692,0.2084509643702918,0.1606230291557053,-0.08892158542566535,6.840546529288687,6.840546529288687,5.123963979403259
0.8986583330600331,0.054200298315976614,0.35577413072936026,0.028024561666016194,-0.025815529364792377,-0.21266353342966873,-0.10081632020634793,0.07783809802591812,0.898942897786945,0.06852000581734227,0.3638277054097275,0.02267703643538743,-0.017360277414370073,-0.1746942401132846,-0.13706136557985016,0.06867716811813745,0.9153420989933758,0.1573077354027372,0.11535898624530061,-0.017379099966728245,0.03357461673852717,-0.27523447339033263,-0.10064351049683079,0.19178895414738542,0.04865183924838328,0.37149733956893516,0.34125446236461554,0.3941764063973605,-0.08057817960305229,0.6544777464208744,0.03585013316118348,0.3894533119012982,0.6037564502235367,0.19301892543768595,0.666955202983516,0.14660014493072307,-0.2691067174972075,0.1255585445340727,0.19229653990032614,-0.08209546388558013,6.957497370876951,6.957497370876951,5.262690188904886
0.9200984877980315,0.26798661111254723,0.03754983165359133,-0.22662455156211173,-0.13753662809509024,0.0015221429391839689,0.027625254753813583,0.09566334774164742,0.9195054182659633,0.2754178350629358,0.04459931856724193,-0.2159086541967747,-0.14123750051422274,0.027880317402841946,0.002373149016221649,0.09653072178749783,0.7283650738485583,-0.5302094186220287,-0.018257111326483066,-0.11804425603332058,-0.03892332961045647,0.13476405933765762,0.3195014419414267,0.22877275717586673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7190177091638132,0.5201117581426382,-0.34630737306201226,0.1360266866734478,0.08104646871019243,-0.21760023070558573,0.1383108468083344,0.03188974737706094,7.1569563646156364,7.1569563646156364,4.948759890378168
0.8129814011072535,-0.1545166279596828,0.08657983385521043,-0.27389175076348654,0.2009155181225887,-0.03094549923850549,0.36928274237941083,-0.23447533176461346,0.8372278813407424,-0.10704392893796617,0.12870645519194804,-0.2882937280774277,0.23904109932044318,-0.04842556917778121,0.34113767599277267,-0.10978091742233077,0.5041038626426368,0.3314158012356244,-0.32311996900244616,-0.007840126649626673,0.6729188531339108,0.006103096752518651,-0.11533300900940455,-0.25576580448900305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5675646245945946,0.4400247021634473,-0.3531802318334429,-0.1649004922802861,0.22211335455377867,0.5182312767127972,-0.05760301906278574,0.10537601075626794,6.0063531596017325,6.0063531596017325,4.532599493153256
0.9151785469494355,-0.08654461503849342,0.12007059354605125,0.3178235720438957,0.02217040537541121,0.1022259784655803,0.16898265641797844,-0.00571582997337865,0.9067399209702399,-0.08297429225917846,0.13265578457524138,0.3249613200464124,0.023191099739477236,0.04586138638299754,0.21131168338553685,0.021138695136301143,0.7116512476756262,-0.335236268480363,0.45810262604782115,-0.09788232153378236,-0.028699464146259877,-0.025940447849277966,0.26488390486887126,-0.3001168638728071,0.020635350570107708,0.2667843345828804,0.902612998066649,-0.24826959587238623,-0.22156404697058998,-0.02010009152777773,-0.04101468446204018,-0.029587829991138948,0.8177768099458362,0.41452552865017606,-0.13112407296006134,-0.23741323372209377,0.1581597743072652,0.23236764360028636,0.08259388832576324,0.004485840617252636,7.66105638236183,7.73718007783463,5.087596335232384
0.7110989085724403,0.39202219018873535,0.41335586565123406,0.1794154695058552,-0.01765429082839898,0.1668691547820341,0.06831147594395638,-0.32369818614329265,0.7336140094698383,0.39365921190875686,0.41201891517065936,0.1870701183745171,-0.028193384753772106,0.15518465318065452,0.08230812300525946,-0.2653984244538353,0.37437973190597595,-0.18044354632893972,0.4809394001548212,-0.08997934025653197,-0.4048519085941172,-0.4878355736765604,-0.33790372747053404,-0.2679802432211113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6265004699558664,-0.09228480388874681,-0.4636586418815491,-0.14190743857511076,0.15510766782121743,0.10072957093341228,-0.05571355618874305,-0.5714497207815751,6.522092798170152,6.522092798170152,4.844187086458591
0.8117404247651722,-0.0021512073166291513,-0.41297481957922694,0.24676798978067763,-0.1798211222457356,-0.1642583439538441,0.22421349890552014,0.006486915030754324,0.8067213550180725,0.009461846159333159,-0.4216508903857821,0.24134816687455307,-0.20282748879016196,-0.16472893423400048,0.20376402766814872,-0.057256675190698075,0.7551351788470032,-0.04779425401369112,-0.03919591642306529,-0.12493493585811348,0.5626737561650395,0.19529261536279063,0.0842284589821307,0.22024104543487505,0.031509231142969316,0.12166586665337771,0.08912316333288832,0.02901190103783881,0.05057311478173684,0.9764276168646184,-0.07405900073376646,-0.11818075179843299,0.8884453509776721,0.23483494883163986,0.16649803697393395,0.16145296955476302,-0.28606977255551386,0.07095866781305217,-0.11578251792024623,-0.038106543735412106,7.288927694521257,7.288927694521257,5.181783550292085
0.8464944693015225,0.47654748847177403,-0.022481652704606267,-0.12652522920277393,-0.07017940861125009,-0.15277993829441766,-0.09535202279705736,0.04976624508913083,0.8412853800065692,0.4784075018291191,-0.01899027471580759,-0.1234764982472486,-0.08999414308674676,-0.11596418946565414,-0.1602126747308791,0.023309981871994127,0.6781925318137656,0.5251690692972364,0.3633494179485143,0.05202384994583666,0.31785071332834275,-0.09941052468499242,-0.08803332502088733,-0.10421930369697864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6591385371210977,-0.06789835983185667,-0.2628828491330377,-0.2248105083753976,-0.1963618428953219,-0.07572661204175514,-0.6139914061653388,0.1414252615632552,6.573680166960646,6.573680166960646,3.4657359027997265
